budget_year,period,department,budget_item,budget_owner,planned_amount,approval_status,source,actual_amount,variance_amount,variance_pct,variance_band,variance_driver
2026,2026-01,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,398666,-34667,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,381333,-52000,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,468000,34667,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,446333,13000,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,485333,52000,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,75134,-6533,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,71867,-9800,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,88200,6533,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,96367,14700,18.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,96367,14700,18.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,276000,-24000,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,264000,-36000,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,324000,24000,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,309000,9000,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,336000,36000,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,销售部,渠道佣金,销售部负责人,103333,locked,synthetic_training_seed_v1,95066,-8267,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,销售部,渠道佣金,销售部负责人,103333,locked,synthetic_training_seed_v1,90933,-12400,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,销售部,渠道佣金,销售部负责人,124000,locked,synthetic_training_seed_v1,133920,9920,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,销售部,渠道佣金,销售部负责人,103333,locked,synthetic_training_seed_v1,106433,3100,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,销售部,渠道佣金,销售部负责人,103333,locked,synthetic_training_seed_v1,115733,12400,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,市场部,投放费用,市场部负责人,140000,locked,synthetic_training_seed_v1,128800,-11200,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,市场部,投放费用,市场部负责人,140000,locked,synthetic_training_seed_v1,123200,-16800,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,市场部,投放费用,市场部负责人,168000,locked,synthetic_training_seed_v1,181440,13440,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,市场部,投放费用,市场部负责人,140000,locked,synthetic_training_seed_v1,144200,4200,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,市场部,投放费用,市场部负责人,140000,locked,synthetic_training_seed_v1,184800,44800,32.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,市场部,内容活动,市场部负责人,60000,locked,synthetic_training_seed_v1,55200,-4800,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,市场部,内容活动,市场部负责人,60000,locked,synthetic_training_seed_v1,52800,-7200,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,市场部,内容活动,市场部负责人,60000,locked,synthetic_training_seed_v1,64800,4800,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,市场部,内容活动,市场部负责人,60000,locked,synthetic_training_seed_v1,61800,1800,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,市场部,内容活动,市场部负责人,60000,locked,synthetic_training_seed_v1,67200,7200,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,交付部,外包实施,交付部负责人,121667,locked,synthetic_training_seed_v1,111934,-9733,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,交付部,外包实施,交付部负责人,121667,locked,synthetic_training_seed_v1,107067,-14600,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,交付部,外包实施,交付部负责人,146000,locked,synthetic_training_seed_v1,157680,11680,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,交付部,外包实施,交付部负责人,121667,locked,synthetic_training_seed_v1,125317,3650,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,交付部,外包实施,交付部负责人,121667,locked,synthetic_training_seed_v1,136267,14600,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,交付部,差旅交付,交付部负责人,56667,locked,synthetic_training_seed_v1,52134,-4533,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,交付部,差旅交付,交付部负责人,56667,locked,synthetic_training_seed_v1,49867,-6800,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,交付部,差旅交付,交付部负责人,56667,locked,synthetic_training_seed_v1,61200,4533,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,交付部,差旅交付,交付部负责人,56667,locked,synthetic_training_seed_v1,58367,1700,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,交付部,差旅交付,交付部负责人,56667,locked,synthetic_training_seed_v1,63467,6800,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,行政人事部,办公租赁,行政人事部负责人,80000,locked,synthetic_training_seed_v1,73600,-6400,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,行政人事部,办公租赁,行政人事部负责人,80000,locked,synthetic_training_seed_v1,70400,-9600,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,行政人事部,办公租赁,行政人事部负责人,80000,locked,synthetic_training_seed_v1,86400,6400,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,行政人事部,办公租赁,行政人事部负责人,80000,locked,synthetic_training_seed_v1,82400,2400,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,行政人事部,办公租赁,行政人事部负责人,80000,locked,synthetic_training_seed_v1,89600,9600,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,行政人事部,招聘培训,行政人事部负责人,35000,locked,synthetic_training_seed_v1,32200,-2800,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,行政人事部,招聘培训,行政人事部负责人,35000,locked,synthetic_training_seed_v1,30800,-4200,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,行政人事部,招聘培训,行政人事部负责人,35000,locked,synthetic_training_seed_v1,37800,2800,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,行政人事部,招聘培训,行政人事部负责人,35000,locked,synthetic_training_seed_v1,36050,1050,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,行政人事部,招聘培训,行政人事部负责人,35000,locked,synthetic_training_seed_v1,39200,4200,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,财务部,审计税务咨询,财务部负责人,30000,locked,synthetic_training_seed_v1,27600,-2400,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,财务部,审计税务咨询,财务部负责人,30000,locked,synthetic_training_seed_v1,26400,-3600,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,财务部,审计税务咨询,财务部负责人,30000,locked,synthetic_training_seed_v1,32400,2400,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,财务部,审计税务咨询,财务部负责人,30000,locked,synthetic_training_seed_v1,30900,900,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,财务部,审计税务咨询,财务部负责人,30000,locked,synthetic_training_seed_v1,33600,3600,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,财务部,系统订阅,财务部负责人,20000,locked,synthetic_training_seed_v1,18400,-1600,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,财务部,系统订阅,财务部负责人,20000,locked,synthetic_training_seed_v1,17600,-2400,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,财务部,系统订阅,财务部负责人,20000,locked,synthetic_training_seed_v1,21600,1600,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,财务部,系统订阅,财务部负责人,20000,locked,synthetic_training_seed_v1,20600,600,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,财务部,系统订阅,财务部负责人,20000,locked,synthetic_training_seed_v1,22400,2400,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
